PUBCHEM_CID,Inhibition_at_5_uM,Activity_Class,SMILES,MW,LogP,NumHDonors,NumHAcceptors
1560103.0,87.9,Active (Strong/Moderate),C1=CC(=CC=C1C(=O)NC(C(F)(F)F)(C(F)(F)F)NC2=NC=C(S2)S(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-])Cl,588.8950000000001,5.200300000000002,2.0,8.0
2997650.0,79.4,Active (Strong/Moderate),C1=CC(=CC=C1C(=O)NCC(=O)NCCCN2C=CN=C2)Cl,320.78,1.4727999999999992,2.0,3.0
2774422.0,77.0,Active (Strong/Moderate),C1=CC(=CC=C1C(C#N)C2=CC=C(C=C2)F)C(=O)C3=CC=C(C=C3)F,333.337,4.851280000000003,0.0,2.0
3564202.0,75.9,Active (Strong/Moderate),C1=CC(=CC=C1C(C#N)C2=NC3=C(C=C2)C(=CC(=N3)C(F)(F)F)C(F)(F)F)Cl,415.72399999999993,5.976280000000002,0.0,3.0
3240350.0,99.5,Active (Strong/Moderate),C1=CC(=CC=C1C(F)(F)F)NS(=O)(=O)C2=CN=CN2,291.25399999999996,2.2292999999999994,2.0,3.0
3797895.0,75.5,Active (Strong/Moderate),C1=CC(=CC=C1C2=C(C(=O)N(N2)C(=S)N)N=NC3=CC=C(C=C3)O)[N+](=O)[O-],384.3770000000001,2.964300000000001,3.0,7.0
663125.0,90.9,Active (Strong/Moderate),C1=CC(=CC=C1C2=C(NN=C2)C3=C(C=C(C=C3)O)O)Cl,286.71799999999996,3.8083000000000022,3.0,3.0
2463022.0,90.2,Active (Strong/Moderate),C1=CC(=CC=C1C2=C3C=C(C=CC3=NO2)Cl)O,245.665,3.853800000000002,1.0,3.0
657876.0,75.8,Active (Strong/Moderate),C1=CC(=CC=C1C2=CN=CN2)F,162.16699999999997,2.2157999999999993,1.0,1.0
973041.0,86.5,Active (Strong/Moderate),C1=CC(=CC=C1C2=CSC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)O,347.42100000000005,2.9067000000000003,3.0,6.0
1487609.0,91.0,Active (Strong/Moderate),C1=CC(=CC=C1C2=NC(=NC=C2)OC3=C(C=CC(=C3)Cl)Cl)Cl,351.62,5.8961000000000015,0.0,3.0
135425486.0,79.2,Active (Strong/Moderate),C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)F)C(=NN2)C4=CC=NC=C4)Cl,350.784,4.308000000000002,1.0,4.0
2767762.0,80.9,Active (Strong/Moderate),C1=CC(=CC=C1C2=NC=CC(=N2)C3=CC=C(C=C3)F)OCCCF,326.3460000000001,4.688100000000003,0.0,3.0
1040802.0,93.7,Active (Strong/Moderate),C1=CC(=CC=C1C2=NN=C3N2C(=C(C(=C3Cl)Cl)C#N)Cl)Br,402.466,4.990680000000001,0.0,3.0
2086442.0,95.3,Active (Strong/Moderate),C1=CC(=CC=C1C2=NN=CO2)OCC(=O)NC3=C(C=CS3)C#N,326.337,2.6872800000000003,1.0,7.0
3827459.0,82.0,Active (Strong/Moderate),C1=CC(=CC=C1C2C3=C(C4=C(C=CC(=C4)Cl)OC3C5=CC=NC=C5)NC6=NC=NN26)Br,492.76400000000007,5.648900000000003,1.0,5.0
3140526.0,87.9,Active (Strong/Moderate),C1=CC(=CC=C1CC(=O)NCCCN2C=CN=C2)Cl,277.755,2.2855,1.0,2.0
1366188.0,76.1,Active (Strong/Moderate),C1=CC(=CC=C1CC2=CC=NC=C2)NC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],367.7920000000001,4.486300000000003,1.0,4.0
