PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,Std.Err(IC50),nH,%Inhibition at 5 uM,Mean High,STD Deviation High,Mean Low,STD Deviation Low
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,IC50 value determined using sigmoidal dose response equation,Standard Error of IC50 value,Hill coefficient determined using sigmoidal dose response equation,% inhibition of CYP2C9 in primary screening,Mean luminescence signal of negative controls in the corresponding plate,Standard deviation (n=64) of negative controls in the corresponding plate,Mean luminescence signal of positive controls in the corresponding plate,Standard deviation (n=64) of positive controls in the corresponding plate
RESULT_UNIT,,,,,,,,MICROMOLAR,MICROMOLAR,NONE,NONE,CPS,CPS,CPS,CPS
5287,4244640,828001,C1CN(CCC1(C#N)NC2=CC=CC=C2)CCC3=CC=CC=C3,Inactive,0,,,,,,-3.5,79444,5131.6,317.08,281.21
5288,4252407,3245964,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NCC3=CC=CS3,Inactive,11,,,,,,27.7,79444,5131.6,317.08,281.21
5289,4243932,3238602,COC1=CC=CC(=C1)C(=O)N2CCN(CC2)C3=NC=CC=N3,Inactive,12,,,,,,32.3,79444,5131.6,317.08,281.21
5290,4250109,3243968,C1CCN(C1)S(=O)(=O)NC2=CC3=C(C=C2)C4=CC=CC=C4O3,Active,35,,,,,,89.3,79444,5131.6,317.08,281.21
5291,4240609,3235695,CC1=C(SC(=C1C(C2=CC=NC=C2)N3CCOCC3)NC(=O)C4=CC=CO4)C,Active,32,,,,,,81.1,79444,5131.6,317.08,281.21
5292,4240921,3235961,C1=CN=CC=C1C(=O)NCCCCCC(=O)O,Inactive,2,,,,,,5.8,79444,5131.6,317.08,281.21
5293,4240834,697331,CC1=CC(=C(C=C1C)S(=O)(=O)NC2=CC=C(C=C2)O)C,Inactive,0,,,,,,-12.5,79444,5131.6,317.08,281.21
5294,4241034,3236058,C1C(=O)NC2=C(C=C(C=C2)Cl)C(N1C(=O)C3=CC=C(O3)Br)C4=CC=C(C=C4)F,Active,29,,,,,,73.4,79444,5131.6,317.08,281.21
5295,4248037,3242167,CC1=CC2=C(C=C1C)NC(=O)C(=C2)CCNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,Inactive,11,,,,,,27.9,79444,5131.6,317.08,281.21
5296,4251904,3245532,CCC(=O)NCCC1=CC2=C(C=C(C(=C2)C)C)NC1=O,Inactive,0,,,,,,-18,79444,5131.6,317.08,281.21
5297,4246626,3240947,CC1=CC2=C(C=C1C)NC(=O)C(=C2)CCNC(=O)C,Inactive,0,,,,,,-15.7,79444,5131.6,317.08,281.21
5298,4245632,3240079,CC(=O)NC(CCS(=O)(=O)C)C(=O)NC1=C(C=CC=C1F)F,Inactive,0,,,,,,-14.5,79444,5131.6,317.08,281.21
5299,4246329,3240691,CC1=C(C=C(C=C1)NC(=O)C(CCS(=O)(=O)C)NC(=O)C)F,Inactive,0,,,,,,-19.1,79444,5131.6,317.08,281.21
5300,4241498,3236464,CC(=O)NC(CCS(=O)(=O)C)C(=O)NC1=CC=C(C=C1)OC,Inactive,0,,,,,,-11.3,79444,5131.6,317.08,281.21
5301,4245643,3240090,CC(=O)NC(CCS(=O)(=O)C)C(=O)NC1=CC=CC=C1C(=O)OC,Inactive,0,,,,,,-14,79444,5131.6,317.08,281.21
5302,4241437,3236410,CCC(C)OC(=O)C1=C(NC(=O)CC1C2=CC=CC=C2OC)C,Inactive,5,,,,,,14.4,79444,5131.6,317.08,281.21
5303,4243792,3238473,COC1=CC=C(C=C1)N2C(C(CCC2=O)C(=O)N3CCCCCC3)C4=CC(=C(C=C4)OC)OC,Inactive,0,,,,,,-5.5,79444,5131.6,317.08,281.21
5304,4242426,3237285,C1CN(CCC1C(=O)N2CCN(CC2)C3=CC=CC=C3)S(=O)(=O)N4CCOCC4,Inactive,0,,,,,,-13.6,79444,5131.6,317.08,281.21
5305,4248828,3242852,CC(C)N(CCCNC(=O)C1CCN(CC1)S(=O)(=O)N2CCOCC2)CC3=CC=CC=C3,Inactive,0,,,,,,-2.9,79444,5131.6,317.08,281.21
5306,4249918,3243797,COC1=CC=CC(=C1)C2=CC(=NO2)C(=O)NC3=CC(=CC=C3)O,Inactive,0,,,,,,-129.8,79444,5131.6,317.08,281.21
5307,4244532,3239116,CC1=CC=CC=C1CN2C=C(C=N2)NC(=O)C3=NOC(=C3)C4=CC(=C(C=C4)OC)OC,Inactive,6,,,,,,16.4,79444,5131.6,317.08,281.21
5308,4251628,3245288,CN1C2=CC=CC=C2C(=C1C(=O)O)CC(=O)NCC3COC4=CC=CC=C4O3,Inactive,19,,,,,,48.4,79444,5131.6,317.08,281.21
5309,4249336,3243302,COC1=C(C=C(C=C1)C2=CC(=NO2)C(=O)NC3=CC(=C(C(=C3)OC)OC)OC)OC,Inactive,0,,,,,,-11.1,79444,5131.6,317.08,281.21
5310,4243335,3238069,CC1=CC=C(C=C1)NC(=O)CCN2C(=O)C3=C(C2=O)C=NC=C3,Inactive,2,,,,,,5.3,79444,5131.6,317.08,281.21
5311,4242925,713757,C1=CC=C(C(=C1)C2=NN=C(O2)C3=CC=C(C=C3)C(F)(F)F)O,Inactive,2,,,,,,6,79444,5131.6,317.08,281.21
5312,4245662,3240108,CN1CCN(CC1)C(=O)C2C(N(C(=O)C3=CC=CC=C23)C4CCCCC4)C5=CC=C(C=C5)OC,Inactive,3,,,,,,9.9,79444,5131.6,317.08,281.21
5313,4250397,3244216,CC(C)C1=CC=C(C=C1)NC(=O)C(C2=CC=CC=C2)N3CCN(CC3)C(=O)C4=CC=CO4,Inactive,15,,,,,,39.5,79444,5131.6,317.08,281.21
5314,4241586,3236541,C1CN(CCN1C2=CC=CC=C2)C(=O)CN3C=CC=C3C(=O)C4=CC=CC=C4,Inactive,0,,,,,,-26.1,79444,5131.6,317.08,281.21
5315,4245972,3240373,CC1=CN=C(C=C1)OC(=O)C2=NC(=CC=C2)C(=O)OC3=NC=C(C=C3)C,Inactive,3,,,,,,8.3,79444,5131.6,317.08,281.21
5316,4246460,3240807,COC1=CC=C(C=C1)C2C(C3=CC=CC=C3C(=O)N2C4=CC=C(C=C4)OC)C(=O)N5CCOCC5,Inactive,0,,,,,,-5.7,79444,5131.6,317.08,281.21
5317,4247271,3241500,CCOC1=C(C=C(C=C1)CCNC(=O)C2CCCN(C2)C3=NN=C(S3)N4C=CC=C4)OCC,Active,24,,,,,,60.5,79444,5131.6,317.08,281.21
5318,4252063,3245665,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CN=C(C4=CC=CC=C43)N5CCN(CC5)C6=NC=CC=N6,Active,32,,,,,,80.2,79444,5131.6,317.08,281.21
5319,4247208,3241439,CCOC1=CC=C(C=C1)C2C(C3=CC=CC=C3C(=O)N2CCN4CCOCC4)C(=O)O,Inactive,0,,,,,,-15.8,79444,5131.6,317.08,281.21
5320,4246028,3240424,CCOC(=O)CSC1=NC2=CC=CC=C2C(=O)N1CC3COC4=CC=CC=C4O3,Inactive,3,,,,,,8.5,79444,5131.6,317.08,281.21
5321,4244352,3238963,CCN(C1=CC=CC(=C1)C)C(=O)CSC2=NC3=C(C=CC(=C3)C(=O)OC)C(=O)N2CC4=CC=CO4,Active,36,,,,,,91.6,79444,5131.6,317.08,281.21
5322,4243575,3238278,C1=CC=C(C=C1)C(=O)C2=CC=CN2CC(=O)NCC3=CN=CC=C3,Inactive,1,,,,,,3.3,79444,5131.6,317.08,281.21
5323,4243649,3238341,CCC1=CC=C(C=C1)NC(=O)CSC2=NC3=C(C=CC(=C3)C(=O)OC)C(=O)N2CC4=CC=CO4,Inactive,3,,,,,,9.7,79444,5131.6,317.08,281.21
5324,4243362,3238096,CN(CC(=O)NC1=CC=CC(=C1)C(F)(F)F)C2=NC(=NO2)C3=CC=C(C=C3)OC,Inactive,1,,,,,,4.3,79444,5131.6,317.08,281.21
5325,4244054,3238708,CC1=CC(=CC=C1)NC(=O)CN(C)S(=O)(=O)C2=CN=CN2,Active,37,,,,,,93,79444,5131.6,317.08,281.21
5326,4241952,3236865,CCOC1=CC(=C(C=C1)OCC)NC(=O)CN(C)S(=O)(=O)C2=CN=CN2,Active,31,,,,,,79.7,79444,5131.6,317.08,281.21
5327,4242640,3237469,CCC1=CC(=CC=C1)NC(=O)CN(C)S(=O)(=O)C2=CN=CN2,Active,37,,,,,,94.6,79444,5131.6,317.08,281.21
5328,4244342,3238953,CCCCCOC1=CC=C(C=C1)OC(=O)C2=CC=NC=C2,Inactive,15,,,,,,37.5,79444,5131.6,317.08,281.21
5329,4250432,3244244,COC1=CC=C(C=C1)N2C(C(CCC2=O)C(=O)O)C3=CC=C(C=C3)F,Inactive,0,,,,,,-5.3,79444,5131.6,317.08,281.21
5330,853296,655948,CC1=NC2=NC=NN2C(=C1)N3CCN(CC3)C4=NC5=CC=CC=C5S4,Inactive,0,,,,,,-5.9,79444,5131.6,317.08,281.21
5331,4244098,746485,C1=CC=C(C=C1)/C=C/SC2=NC=CC(=O)N2,Inactive,7,,,,,,18.1,79444,5131.6,317.08,281.21
5332,4250955,3244703,CC1=CC=C(C=C1)N2C3=C(C=N2)C(=O)N(C=N3)CC(=O)NCC4CCCO4,Inactive,0,,,,,,-3.5,79444,5131.6,317.08,281.21
5333,4250001,3243874,C1CN(CCN1C2=NC=C(C3=CC=CC=C32)C(=O)N4CCN(CC4)C5=NC=CC=N5)C6=NC=CC=N6,Active,25,,,,,,64,79444,5131.6,317.08,281.21
5334,4249283,3243257,CC1=CC=CC=C1CN2C=C(C=N2)NC(=O)C3=NOC(=C3)C4=CC(=CC=C4)OC,Inactive,0,,,,,,-8.9,79444,5131.6,317.08,281.21
5335,861087,6603605,CC1=CC(=C(C=C1)NC(=O)CSC2=NN=C(O2)[C@H](CC3=CNC4=CC=CC=C43)N)C.Cl,Inactive,19,,,,,,48.7,79444,5131.6,317.08,281.21
